目標,請求記号,書名,著者,出版者,出版年,ISBN,紀伊國屋,カーリル
07,519-ｲ 10,池上彰のニュースに登場する世界の環境問題 - エネルギー,池上彰∥監修、稲葉茂勝∥訳・文、アンジェラ・ロイストン∥原著,さ・え・ら書房,2011.4,9784378012308,https://www.kinokuniya.co.jp/f/dsg-01-9784378012308,https://calil.jp/book/9784378012308
07,543-ｶ ,みんなの知らない世界の原子力,海外電力調査会∥編著,日本電気協会新聞部,2017.3,9784905217626,https://www.kinokuniya.co.jp/f/dsg-01-9784905217626,https://calil.jp/book/9784905217626
07,543-ｶ 3,高校教師かわはら先生の原発出前授業 - これからのお話-核のゴミとエネルギーの未来-,川原茂雄∥著,明石書店,2012.12,9784750337296,https://www.kinokuniya.co.jp/f/dsg-01-9784750337296,https://calil.jp/book/9784750337296
07,S543-ﾀ ,ご当地電力はじめました!,高橋真樹∥著,岩波書店,2015.1,9784005007950,https://www.kinokuniya.co.jp/f/dsg-01-9784005007950,https://calil.jp/book/9784005007950
08,304-ﾖ ,日本の進む道 - 成長とは何だったのか,養老孟司∥著、藻谷浩介∥著,毎日新聞出版,2023.3,9784620327723,https://www.kinokuniya.co.jp/f/dsg-01-9784620327723,https://calil.jp/book/9784620327723
08,318-ﾌ ,官製ワーキングプア - 自治体の非正規雇用と民間委託,布施哲也∥著,七つ森書館,2008.7,9784822808709,https://www.kinokuniya.co.jp/f/dsg-01-9784822808709,https://calil.jp/book/9784822808709
08,330-ﾅ ,図解90分でわかる経済のしくみ - 物価の決まりかたから仮想通貨まで,長瀬勝彦∥著,ディスカヴァー・トゥエンティワン,2018.3,9784799322468,https://www.kinokuniya.co.jp/f/dsg-01-9784799322468,https://calil.jp/book/9784799322468
08,331-ｱ “経済学入門”の巻,レモンをお金にかえる法,ルイズ・アームストロング∥ぶん、ビル・バッソ∥え、佐和隆光∥やく,河出書房新社,2005.5,430924341X,https://www.kinokuniya.co.jp/f/dsg-01-430924341X,https://calil.jp/book/430924341X
08,331-ｺ ,高校生からの経済入門,中央大学経済学部∥編,中央大学出版部,2017.8,9784805727102,https://www.kinokuniya.co.jp/f/dsg-01-9784805727102,https://calil.jp/book/9784805727102
08,332-ﾏ ,14歳からの資本主義 - 君たちが大人になるころの未来を変えるために,丸山俊一∥著,大和書房,2019.2,9784479796749,https://www.kinokuniya.co.jp/f/dsg-01-9784479796749,https://calil.jp/book/9784479796749
08,335-ｼ ,まんが超訳『論語と算盤』,渋沢栄一∥原作、守屋淳∥監修、山本時嗣∥シナリオ、今谷鉄柱∥漫画構成、新津タカヒト∥作画,光文社,2020.1,9784334951337,https://www.kinokuniya.co.jp/f/dsg-01-9784334951337,https://calil.jp/book/9784334951337
08,338-ｴ ,N/S高投資部の教科書 - 読んだら一生お金に困らない,N、S高投資部∥著、村上世彰∥監修,東洋経済新報社,2021.12,9784492733608,https://www.kinokuniya.co.jp/f/dsg-01-9784492733608,https://calil.jp/book/9784492733608
08,366-ｲ ,マジで使える労働法 - 賢く働くためのサバイバル術,今野晴貴∥著,イースト・プレス,2009.6,9784781601786,https://www.kinokuniya.co.jp/f/dsg-01-9784781601786,https://calil.jp/book/9784781601786
08,366-ｵ ,ブラックバイト,大内裕和∥著、今野晴貴∥著,堀之内出版,2015.4,9784906708574,https://www.kinokuniya.co.jp/f/dsg-01-9784906708574,https://calil.jp/book/9784906708574
08,366-ﾉ ,女性に伝えたい未来が変わる働き方 - 新しい生き方のヒントが見つかる、二極化時代の新提言,野村浩子∥著,KADOKAWA,2017.2,9784046016218,https://www.kinokuniya.co.jp/f/dsg-01-9784046016218,https://calil.jp/book/9784046016218
08,366-ﾊ ,女子のための「手に職」図鑑 - 一生困らない,華井由利奈∥著,光文社,2018.8,9784334950415,https://www.kinokuniya.co.jp/f/dsg-01-9784334950415,https://calil.jp/book/9784334950415
08,366-ﾌﾞ ,マンガでわかるブラック企業 - 人を使い捨てる会社に壊されないために,ブラック企業大賞実行委員会∥編、佐々木亮∥法律監修、松元千枝∥著、古川琢也∥著、川村遼平∥著,合同出版,2013.8,9784772611268,https://www.kinokuniya.co.jp/f/dsg-01-9784772611268,https://calil.jp/book/9784772611268
08,519-ｳ ,地球温暖化と経済成長 日本の役割を問う 岩波ﾌﾞｯｸﾚｯﾄ no.439,宇沢弘文∥編、国則守生∥編,岩波書店,1997,4000033794,https://www.kinokuniya.co.jp/f/dsg-01-4000033794,https://calil.jp/book/4000033794
08,B304-ﾗ ,経済成長がなければ私たちは豊かになれないのだろうか,C.ダグラス・ラミス∥著,平凡社,2004.9,4582765130,https://www.kinokuniya.co.jp/f/dsg-01-4582765130,https://calil.jp/book/4582765130
08,S331-ﾋ ,経済成長という病 - 退化に生きる、我ら,平川克美∥著,講談社,2009.4,9784062879927,https://www.kinokuniya.co.jp/f/dsg-01-9784062879927,https://calil.jp/book/9784062879927
08,S519-ﾀ ,地球持続学のすすめ,武内和彦∥著,岩波書店,2007.6,9784005005680,https://www.kinokuniya.co.jp/f/dsg-01-9784005005680,https://calil.jp/book/9784005005680
09,007-ｱ ,NFTの教科書 - ビジネス・ブロックチェーン・法律・会計までデジタルデータが資産になる未来,天羽健介∥編著、増田雅史∥編著,朝日新聞出版,2021.1,9784022517975,https://www.kinokuniya.co.jp/f/dsg-01-9784022517975,https://calil.jp/book/9784022517975
09,007-ｵ ,いちばんやさしいAI〈人工知能〉超入門,大西可奈子∥著,マイナビ出版,2018.3,9784839965594,https://www.kinokuniya.co.jp/f/dsg-01-9784839965594,https://calil.jp/book/9784839965594
